"ID","Group","time","rats"
"1","1",1,240
"2","1",1,225
"3","1",1,245
"4","1",1,260
"5","1",1,255
"6","1",1,260
"7","1",1,275
"8","1",1,245
"9","2",1,410
"10","2",1,405
"11","2",1,445
"12","2",1,555
"13","3",1,470
"14","3",1,535
"15","3",1,520
"16","3",1,510
"1","1",8,250
"2","1",8,230
"3","1",8,250
"4","1",8,255
"5","1",8,260
"6","1",8,265
"7","1",8,275
"8","1",8,255
"9","2",8,415
"10","2",8,420
"11","2",8,445
"12","2",8,560
"13","3",8,465
"14","3",8,525
"15","3",8,525
"16","3",8,510
"1","1",1,255
"2","1",1,230
"3","1",1,250
"4","1",1,255
"5","1",1,255
"6","1",1,270
"7","1",1,260
"8","1",1,260
"9","2",1,425
"10","2",1,430
"11","2",1,450
"12","2",1,565
"13","3",1,475
"14","3",1,530
"15","3",1,530
"16","3",1,520
"1","1",2,260
"2","1",2,232
"3","1",2,255
"4","1",2,265
"5","1",2,270
"6","1",2,275
"7","1",2,270
"8","1",2,268
"9","2",2,428
"10","2",2,440
"11","2",2,452
"12","2",2,580
"13","3",2,485
"14","3",2,533
"15","3",2,540
"16","3",2,515
"1","1",2,262
"2","1",2,240
"3","1",2,262
"4","1",2,265
"5","1",2,270
"6","1",2,275
"7","1",2,273
"8","1",2,270
"9","2",2,438
"10","2",2,448
"11","2",2,455
"12","2",2,590
"13","3",2,487
"14","3",2,535
"15","3",2,543
"16","3",2,530
"1","1",3,258
"2","1",3,240
"3","1",3,265
"4","1",3,268
"5","1",3,273
"6","1",3,277
"7","1",3,274
"8","1",3,265
"9","2",3,443
"10","2",3,460
"11","2",3,455
"12","2",3,597
"13","3",3,493
"14","3",3,540
"15","3",3,546
"16","3",3,538
"1","1",4,266
"2","1",4,243
"3","1",4,267
"4","1",4,270
"5","1",4,274
"6","1",4,278
"7","1",4,276
"8","1",4,265
"9","2",4,442
"10","2",4,458
"11","2",4,451
"12","2",4,595
"13","3",4,493
"14","3",4,525
"15","3",4,538
"16","3",4,535
"1","1",4,266
"2","1",4,244
"3","1",4,267
"4","1",4,272
"5","1",4,273
"6","1",4,278
"7","1",4,271
"8","1",4,267
"9","2",4,446
"10","2",4,464
"11","2",4,450
"12","2",4,595
"13","3",4,504
"14","3",4,530
"15","3",4,544
"16","3",4,542
"1","1",5,265
"2","1",5,238
"3","1",5,264
"4","1",5,274
"5","1",5,276
"6","1",5,284
"7","1",5,282
"8","1",5,273
"9","2",5,456
"10","2",5,475
"11","2",5,462
"12","2",5,612
"13","3",5,507
"14","3",5,543
"15","3",5,553
"16","3",5,550
"1","1",5,272
"2","1",5,247
"3","1",5,268
"4","1",5,273
"5","1",5,278
"6","1",5,279
"7","1",5,281
"8","1",5,274
"9","2",5,468
"10","2",5,484
"11","2",5,466
"12","2",5,618
"13","3",5,518
"14","3",5,544
"15","3",5,555
"16","3",5,553
"1","1",6,278
"2","1",6,245
"3","1",6,269
"4","1",6,275
"5","1",6,280
"6","1",6,281
"7","1",6,284
"8","1",6,278
"9","2",6,478
"10","2",6,496
"11","2",6,472
"12","2",6,628
"13","3",6,525
"14","3",6,559
"15","3",6,548
"16","3",6,569
